id,y_DFT,y_pred_scratch,y_pred_pretrained,is_stable_DFT
Type4-CrZrAlP,368.62,378.82242,388.01727,False
Type4-MnZrGeB,341.055,318.98276,304.04062,False
Type4-FeNbGeN,305.811,344.83456,318.16815,False
Type4-VTaSiC,46.784,49.519714,66.61766,False
Type4-MnWAlP,308.299,363.32495,343.2451,False
Type4-FeTaSiP,228.936,442.95444,340.9889,False
Type4-VTiGaN,6.652,-0.08734131,-4.702545,True
Type4-FeTaSiC,345.19,375.11383,308.96304,False
Type4-FeCoSiP,321.845,320.88034,324.45273,False
Type4-CrCuSiN,539.578,560.66833,552.25726,False
Type4-VZrGeC,88.353,111.793106,46.529205,False
Type4-FeHfAlC,326.385,366.0172,318.36252,False
Type4-FeScAlN,527.46,532.55084,506.03778,False
Type4-CrCoSiB,412.335,423.8783,438.23865,False
Type4-MnTiGeC,83.278,42.67517,42.969055,False
Type4-MnNbGeB,224.883,218.64702,234.73914,False
Type4-MnScSiB,431.334,366.38733,378.22888,False
Type4-CrYAlB,568.573,504.20068,442.53088,False
Type4-CoHfAlN,663.168,662.70166,560.4257,False
Type4-MnNiAlB,398.151,398.74448,353.70636,False
Type4-VScSiB,532.448,603.5685,445.88675,False
Type4-CrYGaB,653.378,435.41162,452.7662,False
Type4-NiMoGeP,354.838,339.69577,251.58755,False
Type4-NiCuAlB,441.385,430.31174,419.6159,False
Type4-MnCuSiC,635.011,584.1708,620.2329,False
Type4-CoMoSiN,468.893,474.56696,466.7008,False
Type4-MnWGeB,227.836,278.13647,195.62473,False
Type4-FeZrGaB,313.253,300.20102,268.83392,False
Type4-VTiSiN,135.107,83.01495,113.660126,False
Type4-VCuGeC,423.949,412.5262,379.42593,False
Type4-VMoAlB,249.495,245.49835,217.63635,False
Type4-CrTaSiC,190.135,154.75424,97.245224,False
Type4-MnMoAlB,201.461,238.4832,222.45584,False
Type4-CrNiSiN,390.203,434.4709,415.8236,False
Type4-CoHfAlP,263.272,539.30676,387.7311,False
Type4-NiScAlN,729.104,703.50446,676.94666,False
Type4-NiScSiN,563.838,696.09314,627.5,False
Type4-FeNbSiC,312.871,317.78854,274.11258,False
Type4-NiTaGaC,325.767,368.284,322.59454,False
Type4-MnScSiC,140.994,113.435684,131.4006,False
Type4-CrWGaP,325.483,380.5994,304.0913,False
Type4-NiTaAlB,432.717,433.20667,403.2325,False
Type4-CoZrGaB,220.029,305.96033,220.46358,False
Type4-MnCuGeC,432.899,481.7583,381.6284,False
Type4-FeNbGeB,195.97,246.80211,208.37521,False
Type4-FeWSiB,272.623,411.5327,297.39233,False
Type4-MnMoAlN,440.526,432.0086,490.92395,False
Type4-FeTaAlC,224.757,255.35785,211.8566,False
Type4-FeNiGeC,335.264,311.2264,331.65924,False
Type4-MnNbSiC,270.151,254.65822,158.97287,False
Type4-VScGeN,129.733,176.73264,82.252304,False
Type4-CrNiGeB,392.605,421.33337,392.88306,False
Type4-FeCuGaB,375.962,356.69156,326.22272,False
Type4-CrFeGaP,306.667,290.71298,236.65909,False
Type4-CrZrGeP,179.258,341.81323,241.02684,False
Type4-MnCuGeB,514.067,515.3856,461.29004,False
Type4-MnMoSiN,278.724,334.22882,344.23877,False
Type4-MnCoGeC,208.475,185.81125,201.69234,False
Type4-MnNiSiN,483.65,497.21277,474.11993,False
Type4-MnCoGeP,284.098,239.59663,251.0446,False
Type4-CrTaAlN,297.754,325.05975,296.18033,False
Type4-VYGaP,398.382,395.96497,301.74353,False
Type4-CrNbSiN,291.707,306.25784,261.3696,False
Type4-CrScGeB,459.322,448.50967,388.52032,False
Type4-NiHfGaB,245.566,432.55832,308.30252,False
Type4-CoHfGaN,480.047,458.3839,372.08994,False
Type4-VZrAlB,376.562,390.1336,344.44568,False
Type4-MnTiAlP,336.724,230.64902,300.37616,False
Type4-CrTiAlB,269.433,279.21585,252.34839,False
Type4-NiCuGeC,757.629,743.60156,680.4845,False
Type4-VMoGeC,2.49,24.151276,15.164398,True
Type4-VScGaC,85.48,54.984863,38.619293,False
Type4-CoMoGeB,186.256,280.3302,209.02771,False
Type4-CoNiSiB,315.215,332.5654,303.63812,False
Type4-NiZrSiB,265.606,485.47797,391.9184,False
Type4-VTaGeN,129.698,172.47708,104.27016,False
Type4-CoHfGeN,407.88,439.59412,402.68335,False
Type4-CoYAlC,387.494,422.27356,329.3291,False
Type4-CrHfGaB,311.427,314.18915,240.39963,False
Type4-CrMoAlP,353.197,396.92386,371.45023,False
Type4-CoScSiC,271.766,345.6078,265.11185,False
